comparison_id	set_name	region_class	gene_id	gene_name	peak_hit_count	unique_peak_count	transcript_count	transcript_ids
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000127616.23	SMARCA4	25	25	64	ENST00000344626.10;ENST00000429416.8;ENST00000444061.8;ENST00000541122.6;ENST00000589677.5;ENST00000590574.6;ENST00000642628.1;ENST00000642726.1;ENST00000643296.1;ENST00000643549.1;ENST00000644737.1;ENST00000645460.1;ENST00000646484.1;ENST00000646510.1;ENST00000646693.2;ENST00000647230.1;ENST00000711079.1;ENST00000896342.1;ENST00000896343.1;ENST00000924714.1;ENST00000924715.1;ENST00000924716.1;ENST00000924717.1;ENST00000924718.1;ENST00000924719.1;ENST00000924720.1;ENST00000924721.1;ENST00000924722.1;ENST00000924723.1;ENST00000924724.1;ENST00000924725.1;ENST00000924726.1;ENST00000924727.1;ENST00000924728.1;ENST00000924729.1;ENST00000924730.1;ENST00000924731.1;ENST00000924732.1;ENST00000924733.1;ENST00000924734.1;ENST00000924735.1;ENST00000924736.1;ENST00000924737.1;ENST00000924738.1;ENST00000924739.1;ENST00000924740.1;ENST00000924741.1;ENST00000924742.1;ENST00000924743.1;ENST00000924744.1;ENST00000924745.1;ENST00000924746.1;ENST00000924747.1;ENST00000924748.1;ENST00000924749.1;ENST00000924750.1;ENST00000924751.1;ENST00000924752.1;ENST00000924753.1;ENST00000924754.1;ENST00000924755.1;ENST00000924756.1;ENST00000970840.1;ENST00000970841.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000127914.20	AKAP9	24	24	16	ENST00000356239.8;ENST00000359028.7;ENST00000491695.2;ENST00000679521.1;ENST00000679821.1;ENST00000680072.1;ENST00000680181.1;ENST00000680513.1;ENST00000680534.1;ENST00000680766.1;ENST00000680952.1;ENST00000681412.1;ENST00000681722.1;ENST00000925975.1;ENST00000925976.1;ENST00000925977.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000131503.22	ANKHD1	24	24	9	ENST00000360839.7;ENST00000394722.7;ENST00000394723.7;ENST00000532219.5;ENST00000616482.4;ENST00000907941.1;ENST00000936090.1;ENST00000936091.1;ENST00000936092.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000254996.5	ANKHD1-EIF4EBP3	24	24	9	ENST00000360839.7;ENST00000394722.7;ENST00000394723.7;ENST00000532219.5;ENST00000616482.4;ENST00000907941.1;ENST00000936090.1;ENST00000936091.1;ENST00000936092.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000143776.21	CDC42BPA	24	24	8	ENST00000334218.9;ENST00000366764.8;ENST00000366766.8;ENST00000366767.7;ENST00000366769.7;ENST00000963196.1;ENST00000963197.1;ENST00000963198.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000183495.16	EP400	24	24	3	ENST00000333577.8;ENST00000389561.7;ENST00000935960.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000103657.14	HERC1	24	24	1	ENST00000443617.7
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000123066.9	MED13L	23	23	2	ENST00000281928.9;ENST00000650226.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000196504.22	PRPF40A	23	23	13	ENST00000410080.8;ENST00000545856.8;ENST00000696381.1;ENST00000696382.1;ENST00000698772.1;ENST00000698773.1;ENST00000903550.1;ENST00000924542.1;ENST00000924543.1;ENST00000924544.1;ENST00000968844.1;ENST00000968845.1;ENST00000968846.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000139613.13	SMARCC2	23	23	20	ENST00000267064.8;ENST00000347471.8;ENST00000394023.7;ENST00000550164.6;ENST00000866390.1;ENST00000866391.1;ENST00000866392.1;ENST00000866393.1;ENST00000866394.1;ENST00000866395.1;ENST00000866396.1;ENST00000866397.1;ENST00000866398.1;ENST00000939454.1;ENST00000941977.1;ENST00000941978.1;ENST00000941979.1;ENST00000941980.1;ENST00000941981.1;ENST00000941982.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000109111.16	SUPT6H	23	23	13	ENST00000314616.11;ENST00000347486.8;ENST00000868880.1;ENST00000868881.1;ENST00000868882.1;ENST00000868883.1;ENST00000868884.1;ENST00000868885.1;ENST00000937412.1;ENST00000937413.1;ENST00000937414.1;ENST00000954877.1;ENST00000954878.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000124486.16	USP9X	23	23	9	ENST00000324545.9;ENST00000378308.7;ENST00000703986.1;ENST00000703987.1;ENST00000704649.1;ENST00000704650.1;ENST00000704651.1;ENST00000929529.1;ENST00000971820.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000048707.15	VPS13D	23	23	2	ENST00000613099.4;ENST00000620676.6
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000160299.19	PCNT	22	22	3	ENST00000359568.10;ENST00000480896.5;ENST00000695558.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000029534.22	ANK1	21	21	8	ENST00000265709.14;ENST00000289734.13;ENST00000314214.12;ENST00000347528.8;ENST00000522231.5;ENST00000522543.6;ENST00000705521.1;ENST00000705522.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000171634.19	BPTF	21	21	3	ENST00000306378.11;ENST00000321892.8;ENST00000582467.2
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000122966.19	CIT	21	21	12	ENST00000261833.11;ENST00000392521.7;ENST00000676849.1;ENST00000677993.1;ENST00000678087.1;ENST00000678494.1;ENST00000678652.1;ENST00000678677.1;ENST00000679249.1;ENST00000867920.1;ENST00000928243.1;ENST00000928244.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000141367.15	CLTC	21	21	25	ENST00000269122.8;ENST00000393043.5;ENST00000472651.6;ENST00000475458.3;ENST00000579456.5;ENST00000580081.2;ENST00000700707.1;ENST00000700708.1;ENST00000700709.1;ENST00000700710.1;ENST00000700711.1;ENST00000700712.1;ENST00000700713.1;ENST00000700714.2;ENST00000700715.2;ENST00000714180.1;ENST00000714182.1;ENST00000714241.1;ENST00000714242.1;ENST00000891780.1;ENST00000891781.1;ENST00000891782.1;ENST00000935242.1;ENST00000935243.1;ENST00000935244.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000146247.16	PHIP	21	21	10	ENST00000275034.5;ENST00000700013.1;ENST00000700114.1;ENST00000700115.1;ENST00000700118.1;ENST00000913657.1;ENST00000913658.1;ENST00000913659.1;ENST00000913660.1;ENST00000965196.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000164506.17	STXBP5	21	21	6	ENST00000321680.11;ENST00000367480.7;ENST00000367481.7;ENST00000927180.1;ENST00000927181.1;ENST00000964473.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000147133.19	TAF1	21	21	6	ENST00000373790.9;ENST00000423759.6;ENST00000683202.1;ENST00000683782.1;ENST00000715246.1;ENST00000945393.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000278540.5	ACACA	20	20	5	ENST00000612895.4;ENST00000614428.4;ENST00000614438.1;ENST00000616317.5;ENST00000617649.4
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000007202.17	BLTP2	20	20	9	ENST00000389003.7;ENST00000528896.7;ENST00000902448.1;ENST00000939120.1;ENST00000939121.1;ENST00000939122.1;ENST00000939123.1;ENST00000939124.1;ENST00000955982.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000135837.19	CEP350	20	20	5	ENST00000367607.8;ENST00000417046.2;ENST00000713622.1;ENST00000939150.1;ENST00000939151.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000079805.20	DNM2	20	20	37	ENST00000355667.11;ENST00000359692.10;ENST00000389253.9;ENST00000408974.8;ENST00000585892.5;ENST00000908371.1;ENST00000908372.1;ENST00000908373.1;ENST00000908374.1;ENST00000908375.1;ENST00000908376.1;ENST00000908377.1;ENST00000908378.1;ENST00000908379.1;ENST00000908380.1;ENST00000908381.1;ENST00000908382.1;ENST00000908383.1;ENST00000916585.1;ENST00000957413.1;ENST00000957414.1;ENST00000957415.1;ENST00000957416.1;ENST00000957417.1;ENST00000957418.1;ENST00000957419.1;ENST00000957420.1;ENST00000957421.1;ENST00000957422.1;ENST00000957423.1;ENST00000957424.1;ENST00000957425.1;ENST00000957426.1;ENST00000957427.1;ENST00000957428.1;ENST00000957429.1;ENST00000957430.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000114867.23	EIF4G1	20	20	32	ENST00000342981.8;ENST00000346169.7;ENST00000350481.9;ENST00000352767.7;ENST00000382330.7;ENST00000392537.6;ENST00000411531.5;ENST00000414031.5;ENST00000424196.5;ENST00000427845.5;ENST00000434061.6;ENST00000435046.7;ENST00000441154.5;ENST00000891266.1;ENST00000891267.1;ENST00000891268.1;ENST00000891269.1;ENST00000891270.1;ENST00000891271.1;ENST00000915012.1;ENST00000915013.1;ENST00000915014.1;ENST00000915015.1;ENST00000915016.1;ENST00000915017.1;ENST00000915018.1;ENST00000915019.1;ENST00000915020.1;ENST00000915021.1;ENST00000915022.1;ENST00000915023.1;ENST00000947102.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000061676.17	NCKAP1	20	20	25	ENST00000360982.2;ENST00000361354.9;ENST00000703824.1;ENST00000703825.1;ENST00000888536.1;ENST00000888537.1;ENST00000888538.1;ENST00000888539.1;ENST00000888540.1;ENST00000888541.1;ENST00000939370.1;ENST00000939371.1;ENST00000939372.1;ENST00000939373.1;ENST00000966159.1;ENST00000966160.1;ENST00000966161.1;ENST00000966162.1;ENST00000966163.1;ENST00000966164.1;ENST00000966165.1;ENST00000966166.1;ENST00000966167.1;ENST00000966168.1;ENST00000966169.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000110713.19	NUP98	20	20	35	ENST00000324932.12;ENST00000355260.8;ENST00000359171.8;ENST00000397004.9;ENST00000397007.10;ENST00000527104.6;ENST00000529379.2;ENST00000700597.1;ENST00000700598.1;ENST00000700603.1;ENST00000700606.1;ENST00000700607.1;ENST00000700608.1;ENST00000700609.1;ENST00000851289.1;ENST00000851290.1;ENST00000915299.1;ENST00000915300.1;ENST00000915301.1;ENST00000915302.1;ENST00000915303.1;ENST00000915304.1;ENST00000915305.1;ENST00000915306.1;ENST00000915307.1;ENST00000915308.1;ENST00000915309.1;ENST00000915310.1;ENST00000915311.1;ENST00000915312.1;ENST00000915313.1;ENST00000915314.1;ENST00000943236.1;ENST00000943237.1;ENST00000943238.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000198836.12	OPA1	20	20	25	ENST00000361150.6;ENST00000361510.8;ENST00000361715.6;ENST00000361828.7;ENST00000361908.8;ENST00000392436.7;ENST00000392437.6;ENST00000643329.1;ENST00000645553.1;ENST00000646793.1;ENST00000890752.1;ENST00000890753.1;ENST00000890754.1;ENST00000890755.1;ENST00000890756.1;ENST00000890757.1;ENST00000925500.1;ENST00000968579.1;ENST00000968580.1;ENST00000968581.1;ENST00000968582.1;ENST00000968583.1;ENST00000968584.1;ENST00000968585.1;ENST00000968586.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000009954.11	BAZ1B	19	19	2	ENST00000339594.9;ENST00000404251.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000185658.15	BRWD1	19	19	6	ENST00000333229.6;ENST00000341322.4;ENST00000342449.8;ENST00000380800.7;ENST00000938703.1;ENST00000938704.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000086758.18	HUWE1	19	19	6	ENST00000262854.11;ENST00000342160.7;ENST00000612484.4;ENST00000704099.1;ENST00000913493.1;ENST00000913494.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000133706.21	LARS1	19	19	27	ENST00000394434.7;ENST00000510191.5;ENST00000674158.1;ENST00000674174.1;ENST00000674191.1;ENST00000674270.1;ENST00000674277.1;ENST00000674290.1;ENST00000674398.1;ENST00000674447.1;ENST00000907998.1;ENST00000907999.1;ENST00000908000.1;ENST00000908001.1;ENST00000908002.1;ENST00000908003.1;ENST00000908004.1;ENST00000923242.1;ENST00000923243.1;ENST00000923244.1;ENST00000923245.1;ENST00000923246.1;ENST00000923247.1;ENST00000923248.1;ENST00000923249.1;ENST00000970933.1;ENST00000970934.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000030066.15	NUP160	19	19	23	ENST00000378460.7;ENST00000526870.1;ENST00000528071.5;ENST00000694866.1;ENST00000694867.1;ENST00000863535.1;ENST00000863536.1;ENST00000863537.1;ENST00000863538.1;ENST00000863539.1;ENST00000935518.1;ENST00000935519.1;ENST00000935520.1;ENST00000935521.1;ENST00000935522.1;ENST00000935523.1;ENST00000935524.1;ENST00000935525.1;ENST00000935526.1;ENST00000935527.1;ENST00000935528.1;ENST00000935529.1;ENST00000935530.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000078674.21	PCM1	19	19	59	ENST00000325083.13;ENST00000518537.5;ENST00000519253.5;ENST00000522275.6;ENST00000524226.5;ENST00000857056.1;ENST00000857057.1;ENST00000857058.1;ENST00000857059.1;ENST00000857060.1;ENST00000857061.1;ENST00000857062.1;ENST00000857063.1;ENST00000857064.1;ENST00000937109.1;ENST00000937110.1;ENST00000937111.1;ENST00000937112.1;ENST00000937113.1;ENST00000937114.1;ENST00000937115.1;ENST00000937116.1;ENST00000937117.1;ENST00000937118.1;ENST00000937119.1;ENST00000937120.1;ENST00000937121.1;ENST00000937122.1;ENST00000937123.1;ENST00000937124.1;ENST00000937125.1;ENST00000937126.1;ENST00000937127.1;ENST00000937128.1;ENST00000937129.1;ENST00000937130.1;ENST00000937131.1;ENST00000937132.1;ENST00000969399.1;ENST00000969400.1;ENST00000969401.1;ENST00000969402.1;ENST00000969403.1;ENST00000969404.1;ENST00000969405.1;ENST00000969406.1;ENST00000969407.1;ENST00000969408.1;ENST00000969409.1;ENST00000969410.1;ENST00000969411.1;ENST00000969412.1;ENST00000969413.1;ENST00000969414.1;ENST00000969415.1;ENST00000969416.1;ENST00000969417.1;ENST00000969418.1;ENST00000969419.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000181222.19	POLR2A	19	19	1	ENST00000674977.2
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000080345.19	RIF1	19	19	11	ENST00000243326.9;ENST00000428287.6;ENST00000430328.6;ENST00000444746.7;ENST00000453091.6;ENST00000925469.1;ENST00000925470.1;ENST00000925471.1;ENST00000925472.1;ENST00000925473.1;ENST00000925474.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000138674.18	SEC31A	19	19	82	ENST00000264405.9;ENST00000311785.11;ENST00000348405.8;ENST00000355196.6;ENST00000395310.7;ENST00000443462.6;ENST00000448323.5;ENST00000500777.6;ENST00000505472.5;ENST00000505984.5;ENST00000508479.5;ENST00000508502.5;ENST00000509142.5;ENST00000513858.5;ENST00000854377.1;ENST00000854378.1;ENST00000854379.1;ENST00000854380.1;ENST00000854381.1;ENST00000854382.1;ENST00000854383.1;ENST00000854384.1;ENST00000854385.1;ENST00000854386.1;ENST00000854387.1;ENST00000854388.1;ENST00000854389.1;ENST00000854390.1;ENST00000854391.1;ENST00000854392.1;ENST00000854393.1;ENST00000854394.1;ENST00000854395.1;ENST00000854396.1;ENST00000854397.1;ENST00000854398.1;ENST00000854399.1;ENST00000854400.1;ENST00000854401.1;ENST00000854402.1;ENST00000854403.1;ENST00000854404.1;ENST00000854405.1;ENST00000854406.1;ENST00000854407.1;ENST00000854408.1;ENST00000854409.1;ENST00000854410.1;ENST00000854411.1;ENST00000854412.1;ENST00000854413.1;ENST00000922801.1;ENST00000922802.1;ENST00000922803.1;ENST00000922804.1;ENST00000922805.1;ENST00000922806.1;ENST00000922807.1;ENST00000922808.1;ENST00000922809.1;ENST00000951354.1;ENST00000951355.1;ENST00000951356.1;ENST00000951357.1;ENST00000951358.1;ENST00000951359.1;ENST00000951360.1;ENST00000951361.1;ENST00000951362.1;ENST00000951363.1;ENST00000951364.1;ENST00000951365.1;ENST00000951366.1;ENST00000951367.1;ENST00000951368.1;ENST00000951369.1;ENST00000951370.1;ENST00000951371.1;ENST00000951372.1;ENST00000951373.1;ENST00000951374.1;ENST00000951375.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000008294.23	SPAG9	19	19	23	ENST00000262013.12;ENST00000357122.8;ENST00000505279.5;ENST00000510283.5;ENST00000855101.1;ENST00000855102.1;ENST00000855103.1;ENST00000855104.1;ENST00000855105.1;ENST00000855106.1;ENST00000855107.1;ENST00000855108.1;ENST00000855109.1;ENST00000855110.1;ENST00000933646.1;ENST00000933647.1;ENST00000948171.1;ENST00000948172.1;ENST00000948173.1;ENST00000948174.1;ENST00000948175.1;ENST00000948176.1;ENST00000948177.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000101972.21	STAG2	19	19	34	ENST00000218089.13;ENST00000371144.7;ENST00000371145.8;ENST00000371157.7;ENST00000371160.5;ENST00000455404.6;ENST00000687852.1;ENST00000692982.1;ENST00000899964.1;ENST00000899965.1;ENST00000899966.1;ENST00000899967.1;ENST00000899968.1;ENST00000899969.1;ENST00000899970.1;ENST00000899971.1;ENST00000899972.1;ENST00000899973.1;ENST00000899974.1;ENST00000899975.1;ENST00000899976.1;ENST00000899977.1;ENST00000899978.1;ENST00000940152.1;ENST00000940153.1;ENST00000940154.1;ENST00000940155.1;ENST00000940156.1;ENST00000940157.1;ENST00000940158.1;ENST00000945019.1;ENST00000945020.1;ENST00000945021.1;ENST00000945022.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000196367.15	TRRAP	19	19	4	ENST00000355540.7;ENST00000359863.8;ENST00000446306.8;ENST00000456197.2
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000153922.13	CHD1	18	18	4	ENST00000511067.3;ENST00000614616.5;ENST00000926040.1;ENST00000926041.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000125107.20	CNOT1	18	18	8	ENST00000317147.10;ENST00000441024.6;ENST00000569240.5;ENST00000880845.1;ENST00000938267.1;ENST00000938268.1;ENST00000938269.1;ENST00000938270.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000131504.18	DIAPH1	18	18	3	ENST00000389054.8;ENST00000518047.5;ENST00000647433.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000197102.15	DYNC1H1	18	18	9	ENST00000360184.10;ENST00000643508.2;ENST00000644881.2;ENST00000645114.2;ENST00000645149.2;ENST00000679720.1;ENST00000680137.1;ENST00000681574.1;ENST00000919473.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000164134.15	NAA15	18	18	8	ENST00000296543.10;ENST00000398947.1;ENST00000700275.1;ENST00000700277.1;ENST00000920373.1;ENST00000920374.1;ENST00000920375.1;ENST00000920376.1
