comparison_id	set_name	region_class	peak_id	chrom	start	end	primary_region_class	gene_id	gene_name	transcript_ids
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000275	chr1	1387837	1387854	CDS	ENSG00000221978.14	CCNL2	ENST00000400809.8;ENST00000858595.1;ENST00000858596.1;ENST00000858597.1;ENST00000858598.1;ENST00000858599.1;ENST00000934645.1;ENST00000934646.1;ENST00000934647.1;ENST00000941190.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000280	chr1	1390768	1390782	CDS	ENSG00000221978.14	CCNL2	ENST00000400809.8;ENST00000858595.1;ENST00000858596.1;ENST00000858597.1;ENST00000858598.1;ENST00000858599.1;ENST00000934645.1;ENST00000934646.1;ENST00000934647.1;ENST00000941190.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000287	chr1	1393405	1393443	CDS	ENSG00000221978.14	CCNL2	ENST00000400809.8;ENST00000408918.8;ENST00000858595.1;ENST00000858596.1;ENST00000858597.1;ENST00000858598.1;ENST00000858599.1;ENST00000934646.1;ENST00000934647.1;ENST00000941190.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000291	chr1	1395487	1395515	CDS	ENSG00000221978.14	CCNL2	ENST00000400809.8;ENST00000408918.8;ENST00000858595.1;ENST00000858596.1;ENST00000858597.1;ENST00000858598.1;ENST00000858599.1;ENST00000934646.1;ENST00000934647.1;ENST00000941190.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000292	chr1	1398232	1398260	CDS	ENSG00000221978.14	CCNL2	ENST00000400809.8;ENST00000408918.8;ENST00000858595.1;ENST00000858596.1;ENST00000858597.1;ENST00000858598.1;ENST00000858599.1;ENST00000934645.1;ENST00000934646.1;ENST00000934647.1;ENST00000941190.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000303	chr1	1437030	1437056	CDS	ENSG00000179403.13	VWA1	ENST00000476993.2;ENST00000895635.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000304	chr1	1437263	1437289	CDS	ENSG00000179403.13	VWA1	ENST00000476993.2;ENST00000895635.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000329	chr1	1665908	1665929	CDS	ENSG00000189339.13	SLC35E2B	ENST00000611123.1;ENST00000617444.5;ENST00000904336.1;ENST00000904337.1;ENST00000904338.1;ENST00000904339.1;ENST00000904340.1;ENST00000911898.1;ENST00000911899.1;ENST00000911900.1;ENST00000911901.1;ENST00000956985.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000338	chr1	1712280	1712334	CDS	ENSG00000008128.24	CDK11A	ENST00000356200.7;ENST00000357760.6;ENST00000358779.9;ENST00000378633.5;ENST00000378638.6;ENST00000404249.8;ENST00000893735.1;ENST00000893737.1;ENST00000893738.1;ENST00000893739.1;ENST00000937803.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000347	chr1	1759060	1759122	CDS	ENSG00000008130.16	NADK	ENST00000378625.5
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000359	chr1	1790427	1790491	CDS	ENSG00000078369.20	GNB1	ENST00000378609.9;ENST00000610897.4;ENST00000615252.5;ENST00000703692.1;ENST00000703693.1;ENST00000703694.1;ENST00000703696.1;ENST00000703697.1;ENST00000703699.1;ENST00000703700.1;ENST00000703701.1;ENST00000703702.1;ENST00000703703.1;ENST00000703704.1;ENST00000703705.1;ENST00000703706.1;ENST00000703707.1;ENST00000703708.1;ENST00000703709.1;ENST00000703710.1;ENST00000703711.1;ENST00000899366.1;ENST00000899367.1;ENST00000899368.1;ENST00000899369.1;ENST00000899370.1;ENST00000899371.1;ENST00000899372.1;ENST00000899373.1;ENST00000899374.1;ENST00000899375.1;ENST00000899376.1;ENST00000899377.1;ENST00000899378.1;ENST00000899379.1;ENST00000899380.1;ENST00000899381.1;ENST00000899382.1;ENST00000899383.1;ENST00000899384.1;ENST00000899385.1;ENST00000899386.1;ENST00000899387.1;ENST00000899388.1;ENST00000899389.1;ENST00000916682.1;ENST00000916683.1;ENST00000916684.1;ENST00000916685.1;ENST00000916686.1;ENST00000916687.1;ENST00000916688.1;ENST00000916689.1;ENST00000916690.1;ENST00000916691.1;ENST00000916692.1;ENST00000916693.1;ENST00000916694.1;ENST00000916695.1;ENST00000916696.1;ENST00000916697.1;ENST00000916698.1;ENST00000916699.1;ENST00000916700.1;ENST00000916701.1;ENST00000916702.1;ENST00000916703.1;ENST00000916704.1;ENST00000916705.1;ENST00000916706.1;ENST00000916707.1;ENST00000916708.1;ENST00000916709.1;ENST00000916710.1;ENST00000916711.1;ENST00000916712.1;ENST00000916713.1;ENST00000916714.1;ENST00000916715.1;ENST00000947516.1;ENST00000947517.1;ENST00000947518.1;ENST00000947519.1;ENST00000947520.1;ENST00000947521.1;ENST00000947522.1;ENST00000947523.1;ENST00000947524.1;ENST00000947525.1;ENST00000947526.1;ENST00000947527.1;ENST00000947528.1;ENST00000947529.1;ENST00000947530.1;ENST00000947531.1;ENST00000947532.1;ENST00000947533.1;ENST00000947534.1;ENST00000947535.1;ENST00000947536.1;ENST00000947537.1;ENST00000947538.1;ENST00000947539.1;ENST00000947540.1;ENST00000947541.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000487	chr1	2189770	2189799	CDS	ENSG00000162585.18	FAAP20	ENST00000378546.9;ENST00000904918.1;ENST00000904920.1;ENST00000925510.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000490	chr1	2193773	2193846	CDS	ENSG00000162585.18	FAAP20	ENST00000378546.9;ENST00000400919.7;ENST00000904918.1;ENST00000904919.1;ENST00000904920.1;ENST00000925510.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000491	chr1	2229159	2229188	CDS	ENSG00000157933.12	SKI	ENST00000378536.5;ENST00000851187.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000562	chr1	2303853	2303880	CDS	ENSG00000157933.12	SKI	ENST00000378536.5;ENST00000851187.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000563	chr1	2303943	2303976	CDS	ENSG00000157933.12	SKI	ENST00000378536.5;ENST00000851187.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000564	chr1	2304332	2304382	CDS	ENSG00000157933.12	SKI	ENST00000378536.5;ENST00000851187.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000845	chr1	3826390	3826426	CDS	ENSG00000116198.15	CEP104	ENST00000378230.8;ENST00000428079.6;ENST00000461667.2;ENST00000674544.1;ENST00000674558.1;ENST00000674623.1;ENST00000675375.1;ENST00000675666.1;ENST00000675677.1;ENST00000676052.1;ENST00000894371.1;ENST00000894372.1;ENST00000894373.1;ENST00000923945.1;ENST00000923946.1;ENST00000923947.1;ENST00000955290.1;ENST00000955291.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000931	chr1	6448989	6449075	CDS	ENSG00000187017.18	ESPN	ENST00000461727.6;ENST00000636330.1;ENST00000645284.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000936	chr1	6451845	6451885	CDS	ENSG00000187017.18	ESPN	ENST00000461727.6;ENST00000636330.1;ENST00000645284.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000937	chr1	6451983	6451999	CDS	ENSG00000187017.18	ESPN	ENST00000461727.6;ENST00000636330.1;ENST00000645284.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000938	chr1	6452055	6452100	CDS	ENSG00000187017.18	ESPN	ENST00000461727.6;ENST00000636330.1;ENST00000645284.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000941	chr1	6457183	6457242	CDS	ENSG00000187017.18	ESPN	ENST00000461727.6;ENST00000645284.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0001150	chr1	8361133	8361189	CDS	ENSG00000142599.21	RERE	ENST00000337907.7;ENST00000377464.5;ENST00000400908.7;ENST00000465125.2;ENST00000476556.5;ENST00000864419.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0001242	chr1	8497406	8497412	CDS	ENSG00000142599.21	RERE	ENST00000337907.7;ENST00000377464.5;ENST00000400907.6;ENST00000400908.7;ENST00000659924.1;ENST00000704049.1;ENST00000864419.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0001343	chr1	8614599	8614664	CDS	ENSG00000142599.21	RERE	ENST00000337907.7;ENST00000400907.6;ENST00000400908.7;ENST00000659924.1;ENST00000864419.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0001365	chr1	8656229	8656288	CDS	ENSG00000142599.21	RERE	ENST00000337907.7;ENST00000400907.6;ENST00000400908.7;ENST00000659924.1;ENST00000864419.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0001508	chr1	8863296	8863347	CDS	ENSG00000074800.17	ENO1	ENST00000234590.10;ENST00000647408.1;ENST00000879694.1;ENST00000879695.1;ENST00000879696.1;ENST00000879697.1;ENST00000879698.1;ENST00000879699.1;ENST00000879700.1;ENST00000879701.1;ENST00000879703.1;ENST00000879704.1;ENST00000879705.1;ENST00000879706.1;ENST00000879707.1;ENST00000935293.1;ENST00000935294.1;ENST00000935295.1;ENST00000935296.1;ENST00000935297.1;ENST00000935298.1;ENST00000935299.1;ENST00000935300.1;ENST00000935301.1;ENST00000935302.1;ENST00000935303.1;ENST00000935304.1;ENST00000935305.1;ENST00000935306.1;ENST00000935307.1;ENST00000971792.1;ENST00000971793.1;ENST00000971794.1;ENST00000971795.1;ENST00000971796.1;ENST00000971797.1;ENST00000971798.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0001509	chr1	8863880	8863954	CDS	ENSG00000074800.17	ENO1	ENST00000234590.10;ENST00000647408.1;ENST00000879694.1;ENST00000879695.1;ENST00000879696.1;ENST00000879697.1;ENST00000879698.1;ENST00000879699.1;ENST00000879700.1;ENST00000879701.1;ENST00000879702.1;ENST00000879703.1;ENST00000879704.1;ENST00000879705.1;ENST00000879706.1;ENST00000879707.1;ENST00000935293.1;ENST00000935294.1;ENST00000935295.1;ENST00000935296.1;ENST00000935297.1;ENST00000935298.1;ENST00000935299.1;ENST00000935300.1;ENST00000935301.1;ENST00000935302.1;ENST00000935303.1;ENST00000935304.1;ENST00000935305.1;ENST00000935306.1;ENST00000935307.1;ENST00000971792.1;ENST00000971793.1;ENST00000971794.1;ENST00000971795.1;ENST00000971796.1;ENST00000971797.1;ENST00000971798.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0001515	chr1	8867116	8867126	CDS	ENSG00000074800.17	ENO1	ENST00000234590.10;ENST00000647408.1;ENST00000879694.1;ENST00000879695.1;ENST00000879696.1;ENST00000879697.1;ENST00000879698.1;ENST00000879699.1;ENST00000879700.1;ENST00000879701.1;ENST00000879702.1;ENST00000879703.1;ENST00000879704.1;ENST00000879705.1;ENST00000879706.1;ENST00000879707.1;ENST00000935293.1;ENST00000935294.1;ENST00000935295.1;ENST00000935296.1;ENST00000935297.1;ENST00000935298.1;ENST00000935299.1;ENST00000935300.1;ENST00000935301.1;ENST00000935302.1;ENST00000935303.1;ENST00000935304.1;ENST00000935305.1;ENST00000935306.1;ENST00000935307.1;ENST00000971792.1;ENST00000971794.1;ENST00000971795.1;ENST00000971796.1;ENST00000971797.1;ENST00000971798.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0001600	chr1	9262044	9262081	CDS	ENSG00000049239.14	H6PD	ENST00000377403.7;ENST00000602477.1;ENST00000891474.1;ENST00000891475.1;ENST00000891476.1;ENST00000919134.1;ENST00000948983.1;ENST00000948984.1;ENST00000948985.1;ENST00000948986.1;ENST00000948987.1;ENST00000948988.1;ENST00000948989.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0001601	chr1	9263818	9263847	CDS	ENSG00000049239.14	H6PD	ENST00000377403.7;ENST00000602477.1;ENST00000891474.1;ENST00000891475.1;ENST00000891476.1;ENST00000919134.1;ENST00000948983.1;ENST00000948984.1;ENST00000948985.1;ENST00000948986.1;ENST00000948987.1;ENST00000948988.1;ENST00000948989.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0001654	chr1	9730614	9730693	CDS	ENSG00000171603.19	CLSTN1	ENST00000361311.4;ENST00000377298.9;ENST00000872284.1;ENST00000872285.1;ENST00000872286.1;ENST00000872287.1;ENST00000872288.1;ENST00000872289.1;ENST00000932458.1;ENST00000932459.1;ENST00000932460.1;ENST00000932461.1;ENST00000932462.1;ENST00000932463.1;ENST00000960689.1;ENST00000960690.1;ENST00000960691.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0001655	chr1	9731206	9731263	CDS	ENSG00000171603.19	CLSTN1	ENST00000361311.4;ENST00000377298.9;ENST00000872284.1;ENST00000872285.1;ENST00000872286.1;ENST00000872287.1;ENST00000872288.1;ENST00000872289.1;ENST00000932458.1;ENST00000932459.1;ENST00000932460.1;ENST00000932461.1;ENST00000932462.1;ENST00000932463.1;ENST00000960689.1;ENST00000960690.1;ENST00000960691.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0001656	chr1	9733419	9733449	CDS	ENSG00000171603.19	CLSTN1	ENST00000361311.4;ENST00000377298.9;ENST00000872284.1;ENST00000872285.1;ENST00000872286.1;ENST00000872287.1;ENST00000872288.1;ENST00000872289.1;ENST00000932458.1;ENST00000932459.1;ENST00000932460.1;ENST00000932461.1;ENST00000932462.1;ENST00000932463.1;ENST00000960689.1;ENST00000960690.1;ENST00000960691.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0001662	chr1	9744440	9744509	CDS	ENSG00000171603.19	CLSTN1	ENST00000361311.4;ENST00000377298.9;ENST00000872284.1;ENST00000872285.1;ENST00000872286.1;ENST00000872287.1;ENST00000872288.1;ENST00000872289.1;ENST00000932459.1;ENST00000932460.1;ENST00000932461.1;ENST00000932462.1;ENST00000932463.1;ENST00000960689.1;ENST00000960690.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0001663	chr1	9744602	9744644	CDS	ENSG00000171603.19	CLSTN1	ENST00000361311.4;ENST00000377298.9;ENST00000872284.1;ENST00000872285.1;ENST00000872286.1;ENST00000872287.1;ENST00000872288.1;ENST00000872289.1;ENST00000932459.1;ENST00000932460.1;ENST00000932461.1;ENST00000932462.1;ENST00000932463.1;ENST00000960689.1;ENST00000960690.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0001664	chr1	9749642	9749647	CDS	ENSG00000171603.19	CLSTN1	ENST00000361311.4;ENST00000377298.9;ENST00000872284.1;ENST00000872285.1;ENST00000872287.1;ENST00000872288.1;ENST00000932458.1;ENST00000932459.1;ENST00000932460.1;ENST00000932461.1;ENST00000932462.1;ENST00000932463.1;ENST00000960689.1;ENST00000960690.1;ENST00000960691.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0001665	chr1	9749763	9749774	CDS	ENSG00000171603.19	CLSTN1	ENST00000361311.4;ENST00000377298.9;ENST00000872284.1;ENST00000872285.1;ENST00000872287.1;ENST00000872288.1;ENST00000932458.1;ENST00000932459.1;ENST00000932460.1;ENST00000932461.1;ENST00000932462.1;ENST00000932463.1;ENST00000960689.1;ENST00000960690.1;ENST00000960691.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0001666	chr1	9749774	9749806	CDS	ENSG00000171603.19	CLSTN1	ENST00000361311.4;ENST00000377298.9;ENST00000872284.1;ENST00000872285.1;ENST00000872287.1;ENST00000872288.1;ENST00000932458.1;ENST00000932459.1;ENST00000932460.1;ENST00000932461.1;ENST00000932462.1;ENST00000932463.1;ENST00000960689.1;ENST00000960690.1;ENST00000960691.1
