comparison_id	set_name	region_class	gene_rank	gene_id	gene_name	peak_hit_count	unique_peak_count	transcript_count	transcript_ids	peak_hit_fraction_within_set
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	4	ENSG00000229140.13	CCDC26	165	165	30	ENST00000630386.2;ENST00000642958.2;ENST00000643616.1;ENST00000644194.1;ENST00000663066.2;ENST00000667974.1;ENST00000674580.1;ENST00000674656.1;ENST00000674741.1;ENST00000674762.1;ENST00000675072.1;ENST00000675388.1;ENST00000675393.1;ENST00000675435.1;ENST00000675589.1;ENST00000675599.1;ENST00000675878.1;ENST00000675948.1;ENST00000675970.1;ENST00000676248.1;ENST00000676407.1;ENST00000822340.1;ENST00000822341.1;ENST00000826890.1;ENST00000827342.1;ENST00000827344.1;ENST00000827345.1;ENST00000827350.1;ENST00000827352.1;ENST00000827354.1	0.004403
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	5	ENSG00000185305.12	ARL15	140	140	3	ENST00000502271.5;ENST00000504924.6;ENST00000507646.2	0.003736
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	6	ENSG00000196565.15	ENSG00000239920	136	136	4	ENST00000292896.3;ENST00000380237.5;ENST00000380252.6;ENST00000380259.7	0.003629
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	7	ENSG00000239920.2	HBG2	136	136	4	ENST00000292896.3;ENST00000380237.5;ENST00000380252.6;ENST00000380259.7	0.003629
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	8	ENSG00000213931.7	HBE1	135	135	4	ENST00000292896.3;ENST00000380237.5;ENST00000380252.6;ENST00000380259.7	0.003602
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	9	ENSG00000182256.13	GABRG3	127	127	5	ENST00000333743.10;ENST00000555083.5;ENST00000615808.5;ENST00000660679.1;ENST00000663358.2	0.003389
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	10	ENSG00000290606.3	ENSG00000290606	117	117	18	ENST00000592716.1;ENST00000592931.1;ENST00000593065.6;ENST00000636857.1;ENST00000716068.1;ENST00000716069.1;ENST00000716070.1;ENST00000716071.1;ENST00000716072.1;ENST00000716073.1;ENST00000785636.1;ENST00000785637.1;ENST00000785638.1;ENST00000785639.1;ENST00000785762.1;ENST00000810399.1;ENST00000810402.1;ENST00000810403.1	0.003122
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	11	ENSG00000184903.10	IMMP2L	110	110	5	ENST00000331762.7;ENST00000405709.7;ENST00000447215.5;ENST00000450877.5;ENST00000452895.5	0.002935
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	12	ENSG00000189229.13	ENSG00000189229	106	106	11	ENST00000655753.1;ENST00000658468.1;ENST00000659827.1;ENST00000660054.1;ENST00000661518.1;ENST00000662846.1;ENST00000668643.1;ENST00000670757.2;ENST00000812233.1;ENST00000812350.1;ENST00000812353.1	0.002829
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	13	ENSG00000197157.12	SND1	101	101	23	ENST00000354725.8;ENST00000903601.1;ENST00000903602.1;ENST00000903603.1;ENST00000903604.1;ENST00000903605.1;ENST00000903606.1;ENST00000903607.1;ENST00000903608.1;ENST00000903609.1;ENST00000915263.1;ENST00000915264.1;ENST00000915265.1;ENST00000915266.1;ENST00000915267.1;ENST00000915268.1;ENST00000944748.1;ENST00000944749.1;ENST00000944750.1;ENST00000944751.1;ENST00000944752.1;ENST00000944753.1;ENST00000944754.1	0.002695
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	14	ENSG00000171310.11	CHST11	90	90	5	ENST00000303694.6;ENST00000546689.1;ENST00000547956.1;ENST00000549260.5;ENST00000805737.1	0.002402
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	15	ENSG00000157985.20	AGAP1	89	89	10	ENST00000304032.13;ENST00000336665.9;ENST00000409457.5;ENST00000409538.5;ENST00000418654.2;ENST00000440101.1;ENST00000448025.6;ENST00000635100.2;ENST00000699337.1;ENST00000725223.1	0.002375
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	16	ENSG00000175029.18	CTBP2	87	87	117	ENST00000337195.11;ENST00000411419.7;ENST00000494626.6;ENST00000531469.5;ENST00000904058.1;ENST00000904059.1;ENST00000904060.1;ENST00000904061.1;ENST00000904062.1;ENST00000904063.1;ENST00000904064.1;ENST00000904065.1;ENST00000904066.1;ENST00000904067.1;ENST00000904068.1;ENST00000904069.1;ENST00000904070.1;ENST00000904071.1;ENST00000904072.1;ENST00000904073.1;ENST00000904074.1;ENST00000904075.1;ENST00000904076.1;ENST00000904077.1;ENST00000904078.1;ENST00000904079.1;ENST00000904080.1;ENST00000904081.1;ENST00000904082.1;ENST00000904083.1;ENST00000904084.1;ENST00000904085.1;ENST00000904086.1;ENST00000904087.1;ENST00000904088.1;ENST00000904089.1;ENST00000904090.1;ENST00000904091.1;ENST00000904092.1;ENST00000904093.1;ENST00000904094.1;ENST00000904095.1;ENST00000904096.1;ENST00000904097.1;ENST00000904098.1;ENST00000904099.1;ENST00000904100.1;ENST00000904101.1;ENST00000904102.1;ENST00000904103.1;ENST00000904104.1;ENST00000904105.1;ENST00000904106.1;ENST00000904107.1;ENST00000904108.1;ENST00000904109.1;ENST00000904110.1;ENST00000904111.1;ENST00000904112.1;ENST00000927613.1;ENST00000927614.1;ENST00000927615.1;ENST00000927616.1;ENST00000927617.1;ENST00000927618.1;ENST00000927619.1;ENST00000927620.1;ENST00000927621.1;ENST00000927622.1;ENST00000927623.1;ENST00000927624.1;ENST00000927625.1;ENST00000927626.1;ENST00000927627.1;ENST00000927628.1;ENST00000927629.1;ENST00000927630.1;ENST00000927631.1;ENST00000927632.1;ENST00000927633.1;ENST00000927634.1;ENST00000927635.1;ENST00000927636.1;ENST00000927637.1;ENST00000927638.1;ENST00000927639.1;ENST00000927640.1;ENST00000927641.1;ENST00000927642.1;ENST00000927643.1;ENST00000927644.1;ENST00000966923.1;ENST00000966924.1;ENST00000966925.1;ENST00000966926.1;ENST00000966927.1;ENST00000966928.1;ENST00000966929.1;ENST00000966930.1;ENST00000966931.1;ENST00000966932.1;ENST00000966933.1;ENST00000966934.1;ENST00000966935.1;ENST00000966936.1;ENST00000966937.1;ENST00000966938.1;ENST00000966939.1;ENST00000966940.1;ENST00000966941.1;ENST00000966942.1;ENST00000966943.1;ENST00000966944.1;ENST00000966945.1;ENST00000966946.1;ENST00000966947.1;ENST00000966948.1	0.002322
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	17	ENSG00000224271.9	EPIC1	87	87	20	ENST00000423737.5;ENST00000426452.2;ENST00000650884.1;ENST00000650895.1;ENST00000650924.1;ENST00000651033.2;ENST00000651270.1;ENST00000651403.1;ENST00000651445.1;ENST00000651458.1;ENST00000651538.1;ENST00000651884.1;ENST00000651939.1;ENST00000651948.2;ENST00000652072.1;ENST00000652080.1;ENST00000652399.1;ENST00000652505.1;ENST00000664761.1;ENST00000665418.1	0.002322
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	18	ENSG00000106034.19	CPED1	86	86	10	ENST00000310396.10;ENST00000340646.9;ENST00000423795.5;ENST00000450913.6;ENST00000821737.1;ENST00000942582.1;ENST00000942583.1;ENST00000942584.1;ENST00000942585.1;ENST00000942586.1	0.002295
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	19	ENSG00000008083.15	JARID2	85	85	9	ENST00000341776.7;ENST00000397311.4;ENST00000853926.1;ENST00000853927.1;ENST00000930272.1;ENST00000930273.1;ENST00000930274.1;ENST00000930275.1;ENST00000930276.1	0.002268
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	20	ENSG00000225546.7	LINC02476	84	84	5	ENST00000426413.2;ENST00000660268.1;ENST00000804423.1;ENST00000804424.1;ENST00000804426.1	0.002242
